Jules Gillet;"There Is No Game: Wrong Dimension";"Halo: MCC";"Yakuza: Like a Dragon";"Creeper World 4";" Tony Hawk's™ Pro Skater™ 1 + 2";"";"Monster Hunter: World";"Grounded";"Half-Life: Alyx";""
Nathalie Blot;"";"";"Cats Organized Neatly";"Merchant of the Skies";"Deep Rock Galactic";"";"Hearts of Iron IV";"";"";""
Franck Marchal du Pottier;"";"";"";"";"Tell Me Why";"";"";"";"Half-Life Alyx";""
Brigitte du Costa;"";"Utawarerumono: Mask of Deception";"Utawarerumono: Mask of Truth";"Yakuza: Like a Dragon";"The Legend of Heroes: Trails From Zero";"";"";"";"";""
Paul Pires;"";"Prodeus";"Persona 4 Golden";"Monster Train";"Factorio";"";"Apex Legends";"";"";""
Nicolas-Franck Brun;"";"";"Doom Eternal";"Streets of Rage 4";"Yakuza: Like A Dragon";"";"iRacing";"";"";""
Adélaïde Weiss;"";"";"";"Cloudpunk";"Black Mesa";"";"";"";"";""
Anaïs Morin;"Cyberpunk 2077";"Iron Harvest";"Sakuna: Of Rice and Ruin";"Genshin Impact";"Hellpoint";"";"";"";"Half Life Alyx";""
Sophie Carpentier;"Ring of Pain";"Noita";"Yakuza: Like a Dragon";"Monster Train";"Half-Life: Alyx";"";"Cyberpunk 2077";"Prodeus";"Half-Life: Alyx";"The Last of Us 2"
Anastasie Martineau de la Andre;"";"";"";"Mortal Shell";"Ghostrunner";"";"";"Little Witch Nobeta";"Half-Life: Alyx";"Resident Evil 3"
Honoré Maurice;"Cyberpunk 2077";"Half-Life: Alyx";"Genshin Impact";"Hades";"Yakuza: Like a Dragon";"";"";"";"Half-Life: Alyx";""
Antoinette Cordier-Gregoire;"Microsoft Flight Simulator";"Monster Train";"Spiritfarer";"Crusader Kings III";"Hades";"";"Destiny 2";"Grounded";"";""
Théophile de la Garcia;"";"";"Black Mesa";"Command and Conquer Remastered";"Streets of Rage 4";"";"";"";"";""
Nicolas Nguyen;"Ori and the will of the wisps";"Desperados III";"Yakuza: Like a Dragon";"Persona 4 Golden";"Crusader Kings III";"";"Terraria";"Baldur's Gate 3";"Half-Life: Alyx";"XIII Remake"
Valentine-Suzanne David;"Stars Wars Squadrons";"Command and Conquer Remastered";"Control";"Doom Eternal";"Ori and the Will of the Wisps";"";"Destiny 2";"";"Half-Life Alyx";""
Martine Blanchet;"";"";"";"Persona 4 Golden";"Yakuza like a dragon";"";"CSGO";"";"Half life alyx";""
Susan Charrier;"Gears 5 - Hivebusters";"Tell Me Why";"Ori and the Will of Wisps";"Spiritfarer";"Ghostrunner";"";"Terraria";"Subnautica: Below Zero";"";""
Julien Goncalves-Albert;"";"";"Cyberpunk 2077";"Wasteland 3";"Tell Me Why";"";"No Man's Sky";"Baldur's Gate 3";"";""
Bernard Bertin;"Necrobarista";"Hades";"Omori";"Monster Train";"Half-Life: Alyx";"";"Rimworld";"World of Horror";"Half-Life: Alyx";""
Mathilde Aubry;"Mafia: Definitive Edition";"Alwa's Legacy";"Supraland Crash";"Ori and the Will of the Wisps";"Half-Life: Alyx";"";"Rust";"";"Half-Life: Alyx";"Genshin Impact"
Aimée Rodriguez;"";"";"";"Factorio";"Hades";"";"";"";"";"Doom Eternal"
Clémence Le Gall Le Rolland;"Monster Train";"Crusader Kings 3";"Mount & Blade 2: Bannerlords";"Wasteland 3";"Yakuza: Like a Dragon";"";"World of Warcraft";"Mount & Blade 2: Bannerlords";"N/A";"Marvels Avengers"
Émile Morel de Lejeune;"Ori and the Will of the Wisps";"Yakuza: Like a Dragon";"Persona 4 Golden";"OMORI";"DRAGON BALL Z: KAKAROT";"";"Terraria";"Skul: The Hero Slayer";"Half-Life: Alyx";"Marvel's Avengers"
Guillaume Boucher;"Cyberpunk 2077";"Death Stranding";"Doom Eternal";"Yakuza: Like a Dragon";"Half-Life: Alyx";"";"Stellaris";"Mount & Blade 2 Bannerlord";"Half-Life Alyx";"XIII Remake"
Arthur-Thierry Lemaitre;"Resident Evil 3";"Trials of Mana";"Shiren the Wanderer";"Persona 4 The Golden";"Sakuna - Of Rice and Ruin";"";"Final Fantasy XIV";"";"";"Marvel Avengers"
Zoé de la Besson;"Spiritfarer";"Carrion";"Ori and the Will of the Wisps";"Hades";"Half-Life: Alyx";"";"Stardew Valley";"Prodeus";"Half-Life: Alyx";""
Geneviève Huet;"Half-Life: Alyx";"The Walking Dead: Saints & Sinners";"Fall Guys: Ultimate Knockout";"Sakuna: Of Rice and Ruin";"Yakuza: Like a Dragon";"";"Deep Rock Galactic";"Phasmophobia";"The Walking Dead: Saints & Sinners";"Cyberpunk 2077"
Suzanne Wagner;"Horizon Zero Dawn";"Death Stranding";"Spelunky 2";"Half-Life: Alyx";"Outer Wilds";"";"Counter-Strike: Global Offensive";"";"Half-Life: Alyx";"Cyberpunk 2077"
Élise Samson;"";"";"";"";"Death Stranding";"";"Monster Hunter: World";"";"";""
Alexandria Francois;"Horizon Zero Dawn";"Death Stranding";"Cyberpunk 2077";"Control: Ultimate Edition ";"Half-Life: Alyx";"";"";"";"Half-Life Alyx";""
Alexandria Robert;"Azur Lane Crosswave";"In Other Waters";"Sam & Max Save The World";"Cyberpunk 2077";"Paradise Killer";"";"No Man's Sky";"Risk of Rain 2";"Half Life: Alyx";""
Joseph Marty-Weber;"Control";"Horizon: Zero Dawn";"Doom Eternal";"Hades";"Half-Life: Alyx";"";"Counter-Strike: Global Offensive";"Satisfactory";"Half-Life: Alyx";"Marvel's Avengers"
Marie Remy;"";"";"";"LUNA The Shadow Dust";"Depanneur Nocturne";"";"Mini Metro";"";"";""
Yves Martins-Seguin;"";"";"Marco & The Galaxy Dragon";"Hades";"Genshin Impact";"";"";"";"";""
